iter	MultiClass
135	0.8860250493
136	0.8840993769
137	0.8829281788
138	0.8797273324
139	0.8780353663
140	0.876649086
141	0.8748398643
142	0.8723594586
143	0.8695754448
144	0.8668037308
145	0.8643273395
146	0.8625076277
147	0.8596340298
148	0.856761164
149	0.855054316
150	0.8515217488
151	0.8487409955
152	0.84590559
153	0.8435736357
154	0.840849451
155	0.8396468932
156	0.8369797958
157	0.8340976924
158	0.8317096607
159	0.8292865964
160	0.8275505833
161	0.8247225988
162	0.8233715938
163	0.8218728817
164	0.8200065595
165	0.8177347579
166	0.8148668777
167	0.8134907246
168	0.8105444962
169	0.8077433872
170	0.80437128
171	0.8026237092
172	0.8003114174
173	0.7983831574
174	0.7963847973
175	0.7943122821
176	0.7912217279
177	0.7884830112
178	0.7852701646
179	0.7822300201
180	0.7801470664
181	0.7781947219
182	0.7766519404
183	0.7740651027
184	0.7726956407
185	0.7709601126
186	0.7683035835
187	0.7664673114
188	0.7639806829
189	0.7618636529
190	0.7591422976
191	0.7564926231
192	0.7560142676
193	0.7545951349
194	0.7519431188
195	0.750063855
196	0.7475521284
197	0.7454676083
198	0.7436743909
199	0.7421442786
200	0.740081415
201	0.7384176522
202	0.7374137812
203	0.7349808207
204	0.7335704014
205	0.7314561125
206	0.7289712406
207	0.7274288454
208	0.725889043
209	0.723362276
210	0.7219129539
211	0.7212059095
212	0.7196764415
213	0.7177335769
214	0.7162745887
215	0.7143278324
216	0.7118422191
217	0.7108367647
218	0.709325669
219	0.7077849219
220	0.7061174887
221	0.7044679119
222	0.7011718367
223	0.6990753563
224	0.6978782467
225	0.6959165641
226	0.694922663
227	0.692787957
228	0.691021157
229	0.6888218784
230	0.6869231475
231	0.6848242555
232	0.6824972765
233	0.6817899726
234	0.6807353677
235	0.6783342335
236	0.6763066751
237	0.6745638353
238	0.6733853591
239	0.671496758
240	0.6697319356
241	0.6671199594
242	0.6651674714
243	0.6626843911
244	0.6608648852
245	0.6586635516
246	0.6562813558
247	0.6545553076
248	0.653363922
249	0.6518226844
250	0.6506178025
251	0.6488930462
252	0.6472182226
253	0.6453389918
254	0.644626161
255	0.6430875147
256	0.6413970249
257	0.6395864042
258	0.6381150733
259	0.6366438797
260	0.634914873
261	0.6324142302
262	0.6305175758
263	0.6283217513
264	0.6261850507
265	0.6251513426
266	0.6227077747
267	0.6204709127
268	0.6180157314
269	0.6160866125
270	0.6148699708
271	0.6129868579
272	0.6107375957
273	0.609518726
274	0.6082921557
275	0.6062769964
276	0.6048846634
277	0.604013726
278	0.6023277403
279	0.6000135186
280	0.5984484124
281	0.5970524538
282	0.5956219606
283	0.5942151039
284	0.5926445826
285	0.59112866
286	0.5897843449
287	0.5885151632
288	0.5869658833
289	0.5851132225
290	0.5833058333
291	0.5812330658
292	0.5795358965
293	0.5777137485
294	0.5759536938
295	0.5737480885
296	0.5720623246
297	0.5707079119
298	0.5688835449
299	0.5673901972
300	0.5657187422
301	0.5635539435
302	0.5617410955
303	0.560566095
304	0.5587196011
305	0.5577034204
306	0.5559860347
307	0.5544756752
308	0.553208855
309	0.5515137415
310	0.5498117739
311	0.5484068955
312	0.5466389684
313	0.5453871517
314	0.5445601054
315	0.5433519542
316	0.541557589
317	0.5401465717
318	0.5389853608
319	0.5377631381
320	0.5363828005
321	0.5350626124
322	0.5340988001
323	0.5330157447
324	0.5314301811
325	0.5300933632
326	0.528720832
327	0.5273560694
328	0.5266402497
329	0.5254063128
330	0.524021208
331	0.5230093556
332	0.5216548613
333	0.5200587526
334	0.5184876222
335	0.5167612396
336	0.5148844504
337	0.5133576718
338	0.5116163478
339	0.5104715739
340	0.5096746274
341	0.508101254
342	0.5064481837
343	0.5053322787
344	0.5038679019
345	0.5023462808
346	0.5009143562
347	0.4995548714
348	0.4981507013
349	0.4963394585
350	0.4953639929
351	0.4937064071
352	0.4921247568
353	0.4907713608
354	0.4895046495
355	0.488225147
356	0.4868706405
357	0.4855955133
358	0.4839470847
359	0.4827212337
360	0.4815979069
361	0.4805677381
362	0.4793430299
363	0.4780451509
364	0.4765931986
365	0.4756220134
366	0.4740175338
367	0.4735238786
368	0.4717850983
369	0.4703519944
370	0.4689102116
371	0.4672132698
372	0.4656597852
373	0.4647276483
374	0.464009344
375	0.4635534796
376	0.4622326961
377	0.4606663649
378	0.4589423642
379	0.4574285415
380	0.4566354057
381	0.4549212069
382	0.4534617095
383	0.4520372277
384	0.4507137884
385	0.4497072686
386	0.4480859908
387	0.4473505068
388	0.4464982145
389	0.4453869481
390	0.4442745913
391	0.4429440843
392	0.4412495324
393	0.4401714233
394	0.4393450015
395	0.437847093
396	0.4368371574
397	0.4354318473
398	0.4346173779
399	0.4332716794
400	0.4327666255
401	0.4318831337
402	0.4307802205
403	0.4292452757
404	0.4282239959
405	0.4269228218
406	0.4256397674
407	0.424397176
408	0.4230292943
409	0.4219184103
410	0.420286671
411	0.4188492425
412	0.4177114585
413	0.4164608259
414	0.4153802372
415	0.4145349458
416	0.4138767279
417	0.4130459279
418	0.4117571624
419	0.4109945843
420	0.4101140625
421	0.4087655721
422	0.4081690117
423	0.4069634676
424	0.4061237344
425	0.4053358711
426	0.4043222976
427	0.4032517012
428	0.4023756409
429	0.4014070699
430	0.4003560984
431	0.3997381395
432	0.3989598337
433	0.3977947195
434	0.396769893
435	0.395609179
436	0.3949461243
437	0.3938818313
438	0.3932120936
439	0.3922158219
440	0.3911125981
441	0.3898816888
442	0.3887131925
443	0.3874023484
444	0.3863346377
445	0.385164144
446	0.3845450489
447	0.3836452505
448	0.3826149472
449	0.3815511493
450	0.3812988386
451	0.3806658464
452	0.3794758887
453	0.378215185
454	0.377289798
455	0.3764537952
456	0.3754006865
457	0.374365715
458	0.3735475922
459	0.372950187
460	0.371584704
461	0.370645149
462	0.3695014925
463	0.3684576069
464	0.3676884293
465	0.3667559255
466	0.36633934
467	0.3657079402
468	0.3645506929
469	0.3636174826
470	0.3624300746
471	0.3614458005
472	0.3605598161
473	0.3597318892
474	0.3589316755
475	0.3583264138
476	0.3571706398
477	0.3559477687
478	0.3547969627
479	0.3538047533
480	0.3530067838
481	0.3520305244
482	0.3510975215
483	0.3502654502
484	0.3493693853
485	0.348665771
486	0.3477915867
487	0.3469624707
488	0.346259817
489	0.3456517813
490	0.3447479616
491	0.3442335607
492	0.3433323354
493	0.342648074
494	0.3416596474
495	0.3409330914
496	0.3399766407
497	0.3391175018
498	0.3381594244
499	0.3370764673
500	0.3359584868
501	0.335270855
502	0.3345585135
503	0.334002988
504	0.3338852189
505	0.332862939
506	0.332173502
507	0.3314224483
508	0.330495987
509	0.3298393624
510	0.3293364903
511	0.3283482279
512	0.3275281348
513	0.3268711411
514	0.3261591562
515	0.3257371104
516	0.3250409776
517	0.3245297408
518	0.3240352282
519	0.3231992511
520	0.3228057764
521	0.3221775432
522	0.3213009994
523	0.3202898571
524	0.3195692517
525	0.3184615002
526	0.3179477859
527	0.3169812635
528	0.3162261186
529	0.3151665196
530	0.3143926094
531	0.3137230085
532	0.3133316234
533	0.3127835644
534	0.3119882962
535	0.3113275239
536	0.3106556231
537	0.3102895097
538	0.309689273
539	0.3089086659
540	0.3083516069
541	0.3074630261
542	0.3067140501
543	0.3059976852
544	0.3054350896
545	0.3050588525
546	0.3043487012
547	0.3035560828
548	0.303135638
549	0.3026853755
550	0.3020807241
551	0.3011944841
552	0.3004818668
553	0.299859377
554	0.2990658388
555	0.2982490973
556	0.2973233349
557	0.2964757906
558	0.2956977116
559	0.2949170381
560	0.294188166
561	0.2936280336
562	0.2928149026
563	0.292030652
564	0.2914831834
565	0.2906759599
566	0.2897346042
567	0.289074465
568	0.2883551513
569	0.287706492
570	0.2870408981
571	0.2862160428
572	0.285509737
573	0.2848466369
574	0.284317965
575	0.2835330216
576	0.2830298006
577	0.2826493999
578	0.2820434849
579	0.2813639575
580	0.2806570834
581	0.2797477846
582	0.2790929027
583	0.2783156754
584	0.277558621
585	0.2768905459
586	0.2764238908
587	0.2758833256
588	0.2751253518
589	0.2747927275
590	0.2740242624
591	0.2732927245
592	0.2726086062
593	0.2719565269
594	0.2712993067
595	0.2709072742
596	0.270299186
597	0.2699152732
598	0.2693570311
599	0.268495088
600	0.2679214833
601	0.2674073999
602	0.266653454
603	0.2659219284
604	0.265460083
605	0.2648732699
606	0.2646097463
607	0.2640568181
608	0.2635509555
609	0.2631098174
610	0.262511704
611	0.2622294401
612	0.2615538801
613	0.2609795218
614	0.26026536
615	0.2596754522
616	0.2590374318
617	0.2587335331
618	0.2583327992
619	0.2578202939
620	0.2573109509
621	0.2568452249
622	0.256053159
623	0.255376753
624	0.2546893502
625	0.2541428842
626	0.2535583496
627	0.2529911521
628	0.2525069766
629	0.251759946
630	0.2511034395
631	0.2506429809
632	0.2504201634
633	0.2497674537
634	0.2493129319
635	0.2487979192
636	0.2483293603
637	0.2479996104
638	0.2476055767
639	0.2472739918
640	0.2470583296
641	0.2465127637
642	0.2459617593
643	0.2454508829
644	0.2448369402
645	0.244103489
646	0.243617758
647	0.2430416894
648	0.2424637823
649	0.2416405979
650	0.2410592928
651	0.2404555583
652	0.239857369
653	0.2394086527
654	0.2389586438
655	0.2384941561
656	0.2379709825
657	0.2375190737
658	0.2368903526
659	0.2362296172
660	0.2355745856
661	0.2348108305
662	0.2344448102
663	0.233701971
664	0.2332184908
665	0.2329680999
666	0.2325461007
667	0.2320795903
668	0.2315793417
669	0.2309633992
670	0.2305661322
671	0.2302637298
672	0.2297132159
673	0.2293818941
674	0.2288304693
675	0.2282339834
676	0.2277535055
677	0.2272635444
678	0.2265851444
679	0.2260785734
680	0.2255298438
681	0.2251099069
682	0.2246139538
683	0.2242209155
684	0.2237900029
685	0.2232118734
686	0.2227697137
687	0.2221189221
688	0.2217448245
689	0.2211519841
690	0.2207491571
691	0.2203155518
692	0.2198513229
693	0.2193666035
694	0.2187731492
695	0.2185756518
696	0.2181968827
697	0.217821055
698	0.2171980957
699	0.216625776
700	0.2163224377
701	0.2158088933
702	0.2152475176
703	0.2146691188
704	0.2140227223
705	0.2135853744
706	0.2131179534
707	0.212730731
708	0.2121467478
709	0.2116850269
710	0.2113672249
711	0.2110015114
712	0.2105589263
713	0.2099858193
714	0.2096610317
715	0.209241863
716	0.2089267677
717	0.2083835637
718	0.2080802779
719	0.2077176215
720	0.2074828417
721	0.2068781242
722	0.2063102911
723	0.2058322164
724	0.2054058886
725	0.2050435649
726	0.2044921938
727	0.2041533986
728	0.2038682526
729	0.2035034433
730	0.2030087614
731	0.2024221902
732	0.2020009202
733	0.2017417363
734	0.201278261
735	0.2009400417
736	0.2005523344
737	0.2001475406
738	0.1998246759
739	0.199464594
740	0.1989874456
741	0.1986625766
742	0.1983594209
743	0.1981977877
744	0.1978766513
745	0.1974123514
746	0.1969833754
747	0.1965087439
748	0.1961335839
749	0.1957463165
750	0.1953642995
751	0.1950645645
752	0.1946550532
753	0.1943379464
754	0.1940879272
755	0.1937048111
756	0.1932677621
757	0.1930248337
758	0.1927070233
759	0.1923113142
760	0.1918822425
761	0.1915545701
762	0.191016752
763	0.1907071634
764	0.1903906411
765	0.1901849183
766	0.1898273636
767	0.1895565178
768	0.1891861002
769	0.1887333506
770	0.1882083827
771	0.1878445559
772	0.187614034
773	0.18709498
774	0.1866325992
775	0.1863777277
776	0.1860349393
777	0.1856140356
778	0.1853072273
779	0.1849202367
780	0.1846684144
781	0.1844019539
782	0.1840257876
783	0.1836521471
784	0.18338912
785	0.1830126845
786	0.1827317289
787	0.182267017
788	0.1819489325
789	0.1815436605
790	0.1812647961
791	0.1808342613
792	0.1805820143
793	0.1800764123
794	0.1797370526
795	0.1792835889
796	0.178774637
797	0.1786562441
798	0.1782824596
799	0.1778470482
800	0.1774491999
801	0.1770718318
802	0.1766756283
803	0.1763087591
804	0.1759905262
805	0.1756242873
806	0.1753231732
807	0.1749462748
808	0.1745933768
809	0.1742082687
810	0.1739973378
811	0.1736679159
812	0.1732588557
813	0.1728762803
814	0.1726166656
815	0.1723054745
816	0.1719358396
817	0.1716690521
818	0.1714215354
819	0.1709954775
820	0.1706260983
821	0.1703032837
822	0.1700407016
823	0.1697083656
824	0.1693744468
825	0.16909442
826	0.1687734742
827	0.1683906966
828	0.1679990264
829	0.1677347412
830	0.1674874983
831	0.1672379402
832	0.1669030202
833	0.1665724941
834	0.166228152
835	0.1660654389
836	0.1656741005
837	0.1653901191
838	0.165081443
839	0.1647428292
840	0.1644540822
841	0.1640314598
842	0.1637548503
843	0.163509688
844	0.1630507396
845	0.1626472361
846	0.1625199068
847	0.1622342212
848	0.1618301177
849	0.1614586357
850	0.1611664118
851	0.1607779728
852	0.1604431975
853	0.1602312548
854	0.1597942625
855	0.1595979425
856	0.1593171952
857	0.1590717483
858	0.158646905
859	0.1583392248
860	0.1578822731
861	0.1577115136
862	0.157324694
863	0.1569273192
864	0.1566344272
865	0.1562495259
866	0.1559277558
867	0.1557619485
868	0.1554292341
869	0.1551752632
870	0.1548545659
871	0.1546523756
872	0.1545410997
873	0.1542992344
874	0.1540802484
875	0.1538476213
876	0.1535299475
877	0.1532289054
878	0.1529770322
879	0.1526884976
880	0.1524620361
881	0.1522081583
882	0.1518277358
883	0.1516750456
884	0.1514117652
885	0.1510255651
886	0.1506698272
887	0.1504310051
888	0.1501370132
889	0.1498708483
890	0.1496726391
891	0.1495502821
892	0.1492562782
893	0.1489887951
894	0.148664096
895	0.1484026239
896	0.1480815522
897	0.1477633308
898	0.1476136859
899	0.1472908325
900	0.1470844802
901	0.1468279135
902	0.1465689289
903	0.1464195199
904	0.1461863727
905	0.1458652298
906	0.1455709239
907	0.1452727941
908	0.144930854
909	0.1446072953
910	0.144303866
911	0.1441087117
912	0.1439403708
913	0.1436859138
914	0.1433395204
915	0.1430420745
916	0.1427847875
917	0.1424747188
918	0.142189663
919	0.1418686988
920	0.1416686537
921	0.1413821582
922	0.1410681956
923	0.1408178884
924	0.1405324923
925	0.1403189326
926	0.1401967839
927	0.1400805694
928	0.1399455035
929	0.1397685272
930	0.1395418316
931	0.1392565747
932	0.1389070081
933	0.1386291319
934	0.1385186812
935	0.1382429037
936	0.1380589056
937	0.1378727666
938	0.1376413701
939	0.1374267229
940	0.1373020732
941	0.1369914357
942	0.1367225504
943	0.1364898201
944	0.1361584119
945	0.1358422612
946	0.1356047466
947	0.1354045049
948	0.1352251107
949	0.1349983391
950	0.1347344199
951	0.1344612275
952	0.1343458831
953	0.1341406726
954	0.1338753788
955	0.1336489993
956	0.1333297167
957	0.1331569834
958	0.1329406257
959	0.1327655009
960	0.1326669227
961	0.1323757292
962	0.1321940184
963	0.131951497
964	0.1316348013
965	0.1313490558
966	0.1311693956
967	0.1308847145
968	0.1305176007
969	0.1301842156
970	0.1300648068
971	0.1298269435
972	0.1295123537
973	0.1292191495
974	0.1290108179
975	0.1287222047
976	0.1284329699
977	0.1281457005
978	0.1278867699
979	0.127707546
980	0.1275473878
981	0.1273923736
982	0.1271217566
983	0.1269210202
984	0.1266345646
985	0.1263524776
986	0.1260676947
987	0.1258631612
988	0.1256714824
989	0.1255140615
990	0.125188128
991	0.1249969398
992	0.1248861317
993	0.1246128949
994	0.1243218348
995	0.124061261
996	0.1239369684
997	0.1237526436
998	0.1235661769
999	0.1234565599
