iter	Passed	Remaining
504	21615	21187
505	21657	21144
506	21698	21099
507	21738	21053
508	21779	21009
509	21819	20963
510	21860	20919
511	21901	20874
512	21942	20830
513	21982	20785
514	22023	20740
515	22065	20697
516	22110	20656
517	22152	20613
518	22195	20570
519	22237	20526
520	22276	20481
521	22317	20436
522	22359	20392
523	22403	20351
524	22447	20309
525	22489	20265
526	22529	20220
527	22570	20176
528	22610	20131
529	22652	20088
530	22696	20046
531	22736	20000
532	22775	19955
533	22821	19915
534	22868	19876
535	22908	19830
536	22948	19786
537	22988	19740
538	23028	19695
539	23069	19651
540	23109	19606
541	23148	19561
542	23187	19515
543	23229	19471
544	23270	19427
545	23311	19383
546	23351	19338
547	23393	19295
548	23433	19250
549	23473	19205
550	23527	19172
551	23578	19136
552	23624	19096
553	23667	19053
554	23708	19009
555	23750	18966
556	23793	18924
557	23837	18882
558	23883	18841
559	23929	18801
560	23974	18760
561	24017	18718
562	24060	18675
563	24106	18635
564	24155	18597
565	24204	18559
566	24253	18521
567	24302	18483
568	24351	18445
569	24398	18406
570	24445	18366
571	24494	18328
572	24542	18289
573	24601	18258
574	24647	18217
575	24691	18175
576	24731	18130
577	24779	18091
578	24833	18057
579	24877	18014
580	24922	17973
581	24965	17930
582	25007	17886
583	25048	17842
584	25091	17800
585	25134	17757
586	25175	17713
587	25216	17668
588	25258	17624
589	25299	17580
590	25341	17537
591	25382	17493
592	25426	17451
593	25468	17407
594	25509	17363
595	25549	17318
596	25589	17274
597	25630	17230
598	25672	17186
599	25718	17145
600	25759	17101
601	25803	17059
602	25844	17015
603	25885	16971
604	25930	16929
605	25973	16886
606	26022	16848
607	26069	16808
608	26116	16767
609	26161	16726
610	26205	16684
611	26251	16643
612	26294	16600
613	26337	16557
614	26381	16515
615	26423	16471
616	26467	16429
617	26510	16386
618	26554	16344
619	26600	16303
620	26645	16262
621	26688	16218
622	26732	16177
623	26784	16139
624	26831	16098
625	26879	16058
626	26946	16030
627	27000	15993
628	27042	15950
629	27086	15907
630	27130	15865
631	27173	15822
632	27216	15779
633	27259	15736
634	27304	15694
635	27347	15651
636	27387	15607
637	27429	15563
638	27469	15518
639	27509	15474
640	27550	15430
641	27592	15386
642	27632	15342
643	27674	15298
644	27714	15253
645	27753	15208
646	27799	15167
647	27840	15123
648	27880	15078
649	27922	15035
650	27964	14991
651	28004	14947
652	28045	14903
653	28087	14859
654	28127	14815
655	28167	14770
656	28205	14725
657	28244	14680
658	28284	14635
659	28325	14591
660	28366	14547
661	28411	14506
662	28463	14468
663	28503	14423
664	28545	14379
665	28584	14335
666	28625	14291
667	28666	14247
668	28706	14202
669	28746	14158
670	28786	14114
671	28831	14072
672	28872	14028
673	28916	13986
674	28957	13942
675	28998	13898
676	29039	13854
677	29078	13809
678	29118	13765
679	29158	13721
680	29198	13677
681	29238	13633
682	29279	13589
683	29321	13546
684	29363	13503
685	29408	13460
686	29453	13419
687	29493	13374
688	29536	13332
689	29579	13289
690	29622	13246
691	29664	13203
692	29706	13160
693	29747	13116
694	29787	13072
695	29828	13028
696	29869	12984
697	29910	12941
698	29951	12897
699	29997	12856
700	30038	12812
701	30079	12768
702	30119	12724
703	30159	12680
704	30201	12637
705	30241	12593
706	30283	12550
707	30333	12510
708	30379	12468
709	30425	12427
710	30468	12384
711	30511	12341
712	30551	12297
713	30593	12254
714	30635	12211
715	30678	12168
716	30719	12124
717	30759	12080
718	30799	12036
719	30840	11993
720	30880	11949
721	30920	11905
722	30962	11862
723	31004	11819
724	31047	11776
725	31090	11734
726	31132	11690
727	31172	11647
728	31215	11604
729	31257	11560
730	31296	11516
731	31340	11474
732	31384	11432
733	31422	11387
734	31464	11344
735	31505	11300
736	31544	11256
737	31584	11212
738	31623	11168
739	31662	11124
740	31704	11081
741	31746	11038
742	31789	10995
743	31833	10953
744	31872	10909
745	31912	10865
746	31953	10822
747	31992	10778
748	32033	10734
749	32072	10690
750	32120	10649
751	32160	10606
752	32202	10563
753	32240	10518
754	32289	10478
755	32334	10436
756	32375	10392
757	32415	10349
758	32455	10305
759	32497	10262
760	32537	10218
761	32580	10176
762	32620	10132
763	32662	10089
764	32702	10045
765	32743	10002
766	32782	9958
767	32821	9914
768	32863	9871
769	32903	9828
770	32942	9784
771	32982	9741
772	33022	9697
773	33063	9654
774	33103	9610
775	33146	9568
776	33189	9525
777	33234	9483
778	33281	9441
779	33330	9400
780	33373	9358
781	33424	9317
782	33468	9275
783	33514	9233
784	33557	9190
785	33601	9148
786	33645	9106
787	33690	9064
788	33731	9020
789	33774	8978
790	33816	8935
791	33860	8892
792	33902	8849
793	33944	8806
794	33985	8763
795	34026	8720
796	34067	8677
797	34113	8635
798	34157	8592
799	34202	8550
800	34251	8509
801	34303	8468
802	34354	8428
803	34402	8386
804	34452	8345
805	34499	8303
806	34545	8261
807	34590	8219
808	34631	8176
809	34673	8133
810	34713	8089
811	34761	8048
812	34821	8009
813	34863	7966
814	34904	7923
815	34944	7879
816	34988	7837
817	35032	7794
818	35086	7754
819	35129	7711
820	35174	7668
821	35216	7626
822	35258	7582
823	35299	7539
824	35348	7498
825	35389	7454
826	35430	7411
827	35471	7368
828	35512	7325
829	35556	7282
830	35599	7239
831	35639	7196
832	35680	7153
833	35724	7110
834	35773	7068
835	35814	7025
836	35855	6982
837	35895	6939
838	35936	6895
839	35976	6852
840	36015	6809
841	36055	6765
842	36095	6722
843	36136	6679
844	36177	6636
845	36218	6592
846	36257	6549
847	36304	6507
848	36343	6463
849	36389	6421
850	36437	6379
851	36483	6337
852	36527	6294
853	36569	6251
854	36611	6209
855	36652	6165
856	36693	6122
857	36732	6079
858	36771	6035
859	36817	5993
860	36862	5951
861	36904	5908
862	36950	5865
863	36995	5823
864	37039	5780
865	37082	5737
866	37126	5695
867	37166	5652
868	37208	5609
869	37250	5566
870	37289	5522
871	37331	5479
872	37371	5436
873	37413	5393
874	37454	5350
875	37497	5307
876	37543	5265
877	37583	5222
878	37622	5178
879	37663	5135
880	37704	5092
881	37747	5050
882	37796	5008
883	37839	4965
884	37883	4922
885	37925	4879
886	37967	4836
887	38005	4793
888	38046	4750
889	38086	4707
890	38127	4664
891	38168	4621
892	38207	4578
893	38247	4534
894	38289	4492
895	38330	4449
896	38371	4406
897	38412	4363
898	38451	4319
899	38492	4276
900	38532	4233
901	38584	4192
902	38623	4148
903	38663	4105
904	38704	4062
905	38745	4019
906	38785	3976
907	38825	3933
908	38865	3890
909	38906	3847
910	38948	3805
911	38991	3762
912	39031	3719
913	39072	3676
914	39114	3633
915	39155	3590
916	39195	3547
917	39236	3504
918	39280	3462
919	39324	3419
920	39365	3376
921	39406	3333
922	39446	3290
923	39488	3247
924	39529	3205
925	39572	3162
926	39610	3119
927	39653	3076
928	39695	3033
929	39733	2990
930	39774	2947
931	39815	2905
932	39857	2862
933	39898	2819
934	39938	2776
935	39979	2733
936	40021	2690
937	40061	2648
938	40104	2605
939	40144	2562
940	40184	2519
941	40227	2476
942	40266	2433
943	40306	2391
944	40346	2348
945	40387	2305
946	40427	2262
947	40466	2219
948	40508	2176
949	40547	2134
950	40587	2091
951	40629	2048
952	40682	2006
953	40725	1963
954	40771	1921
955	40815	1878
956	40857	1835
957	40899	1793
958	40939	1750
959	40978	1707
960	41017	1664
961	41058	1621
962	41097	1579
963	41138	1536
964	41178	1493
965	41218	1450
966	41258	1407
967	41298	1365
968	41340	1322
969	41381	1279
970	41420	1237
971	41460	1194
972	41504	1151
973	41544	1109
974	41586	1066
975	41626	1023
976	41668	980
977	41709	938
978	41750	895
979	41790	852
980	41833	810
981	41878	767
982	41920	724
983	41963	682
984	42004	639
985	42045	596
986	42086	554
987	42125	511
988	42166	468
989	42207	426
990	42248	383
991	42292	341
992	42332	298
993	42372	255
994	42415	213
995	42454	170
996	42496	127
997	42538	85
998	42581	42
999	42622	0
